Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
Bentry Betting,MacGregor House,B Entry,B Entry Main Lounge,8/29/2023 21:00,8/29/2023 23:00,Play poker with Bentry residents and enjoy some late night snacks,"Food, Social, Games",TRUE
Fentry late night snacks and desserts,MacGregor House,F Entry,F Entry Lounge,8/29/2023 22:00,8/30/2023 0:00,"Late-night snacks with F Entry. Come for the food, stay for the fun facts","Food, Social",TRUE
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/29/2023 9:00,8/29/2023 10:00,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Food,TRUE
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/30/2023 9:00,8/30/2023 10:30,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Food,TRUE
Hashbrowns and Honeycakes with Hentry,MacGregor House,H Entry,H Entry 3rd Floor Kitchen,8/30/2023 9:00,8/30/2023 10:30,Hungry this lovely morning??  Head over to MacGregor's Hentry for some delightful honeycakes and hashbrowns made in our communal kitchen!,"Food, Social",TRUE
Ice Cream Welcome Social,Maseeh Hall,,Maseeh Courtyard,8/26/2023 21:00,8/26/2023 22:00,"After move-in, come meet your new classmates and seasoned MIT students living in Maseeh hall. Come get some ice cream in Maseeh's very own courtyard. Ask any questions you have about your new residence!","Food, Social",TRUE
Unlimited Coffee and Croissants,Maseeh Hall,,Maseeh Courtyard ,8/27/2023 10:00,8/27/2023 11:30,"Theorem: We are all better when caffeinated. Proof: Trivial QED. Start your morning right with freshly brewed, imported coffees/matcha and unlimited, freshly baked croissants. ",Food,TRUE
Fruit Smoothies,Maseeh Hall,,Maseeh Courtyard,8/27/2023 15:00,8/27/2023 16:30,Hot day? Cold smoothie. Need we say more? (whey protein powder provided for gains),Food,TRUE
Annual Maseeh Waffle Night,Maseeh Hall,,Maseeh Courtyard,8/27/2023 21:00,8/27/2023 23:00,"1000+ waffles, over 25lbs of fruit, and an ungodly amount of chocolate can only mean one thing: the annual Maseeh waffle night. Come check out the biggest event Maseeh hosts for Rex.",Signature,TRUE
Maseeh Fruity Breakfast,Maseeh Hall,,Maseeh Courtyard,8/28/2023 10:00,8/28/2023 11:00,Come enjoy some of your favourite fruits and breakfast food at Maseeh Hall's very own breakfast event. ,"Food, Social",TRUE
Maseeh Building Tour 1,Maseeh Hall,,Meet in Maseeh Lobby at 2pm and 2:30pm,8/28/2023 14:00,8/28/2023 15:00,"Looking to possibly FYRE/move to Maseeh?  Join us on this tour of one of MIT's newest residence halls, the closest dorm to campus and one of only two dorms to serve lunch. This tour will show you a taste of Maseeh culture and some of the spacious rooms avaliable to residents. ",Tour,TRUE
Arts & Crafts,Maseeh Hall,,Maseeh Courtyard,8/28/2023 15:00,8/28/2023 16:30,"Are you an artistic person or someone who wants to learn art? Come draw or make whatever you can dream of with our diverse art supply. Show us your creativity, or just show up to meet your peers and learn about Maseeh. ","Social, Art",TRUE
Italian Night -- Make Your Own Pizza!,Maseeh Hall,,Maseeh Courtyard,8/28/2023 20:00,8/28/2023 21:30,Ever felt like you wanted to become an Italian chef and make Pizza? Come to Maseeh's Pizza making event! We will be making mini margherita pizzas in our very own kitchen that you can make and eat. All ingredients are provided just bring yourself (and maybe a friend).   ,"Food, Social",TRUE
Sushi Sushi Sushi ,Maseeh Hall,,Maseeh Courtyard,8/29/2023 12:00,8/29/2023 13:30,"We have 10lbs of sashimi grade tuna, 4lbs of fresh crab, and all you can eat salmon.  Why spend $40+ on sushi when you can get it for free? ",Food,TRUE
Maseeh Building Tour 2,Maseeh Hall,,Maseeh Lobby (meet at 2pm and 2:30pm),8/29/2023 14:00,8/29/2023 15:00,"Looking to possibly FYRE/move to Maseeh?  Join us on this tour of one of MIT's newest residence halls, the closest dorm to campus and one of only two dorms to serve lunch. This tour will show you a taste of Maseeh culture and some of the spacious rooms avaliable to residents. ",Tour,TRUE
Super Smash Bros Tournament,Maseeh Hall,,Maseeh Lounges,8/30/2023 21:00,8/30/2023 23:00,"Play to win big: 27 inch monitor, logitech gaming mouse, and over $300 in prizes. Not to mention unlimited chips and soda :)",Games,TRUE
McCormick Tours,McCormick Hall,,McCormick Lobby,8/27/2023 10:00,8/30/2023 17:00,"Get an insider tour of McCormick, including the Penthouse, Dance Studio, Craft Room, Country Kitchen, Gym, and more! (Su/M/W - 10/4/7)",Tour,TRUE
Make a Mural,McCormick Hall,,McCormick Courtyard,8/27/2023 10:00,8/27/2023 19:00,"Join us to show once and for all that MIT students are as artistic as they are intelligent- with paint & chalk. Or, just come for snacks and chats with McCormick residents.",Art,TRUE
Great McCormick Baking Show,McCormick Hall,,McCormick Front Lawn,8/27/2023 13:00,8/27/2023 15:00,"Show off your cake-decorating skills at McCormick’s very own cake-off! We’ll bring the cakes, you bring the friends!","Food, Social",TRUE
Penthouse Party,McCormick Hall,,McCormick East Penthouse,8/27/2023 21:00,8/28/2023 0:00,"Take pics with the Boston Skyline at Night, eat great food, & dance to the rhythms of your favs! (Bring your friends, we spent so much money on this XD)","Signature, Party",TRUE
Tosci's and Tea,McCormick Hall,,McCormick Front Lawn,8/28/2023 14:30,8/28/2023 16:00,"Have THE ICONIC TOSCANINI's ICE CREAM on McCormick's front lawn! Why settle for regular ice cream when you can have BOSTON'S BEST? For multiple years, Tosci's has been voted by Bostonians to be the BEST and come see why! Also just chill and spill tea with us ;)","Food, Social",TRUE
Night Carnival,McCormick Hall,,McCormick Front Lawn,8/28/2023 19:00,8/28/2023 21:00,"Games and PRIZES GALORE! Cotton candy, popcorn, snow cones! We're having a GIANT CARNIVAL BASH, and we're giving away so much food & prizes!! (Bring your friends! All genders invited)","Food, Social, Games",TRUE
Katharine's Kasino,McCormick Hall,,McCormick Green Living Room,8/28/2023 21:00,8/28/2023 23:00,"Do you like gambling? Well, come on down to Katherine’s Kasino. We got chips (both the poker type and the snacking type), blackjack, and bingo (for the old souls). Are you feeling lucky?","Social, Games",TRUE
Cottagecore!,McCormick Hall,,McCormick's Craft Room,8/28/2023 9:30,8/28/2023 11:00,"Join us in the craft room for flower crowns, embroidery projects, and insightful conversations. Stitch, sip tea, and discover what it's like to navigate MIT!","Social, Art",TRUE
Taste of Cambridge,McCormick Hall,,McCormick Courtyard,8/29/2023 12:00,8/29/2023 14:00,"Hungry but don’t know where to go in Cambridge? We got you! We bring you delicious food from the finest dining establishments around. Though we don’t recommend you mix all the flavors together, we do recommend that you come and stuff your face!","Food, Social",TRUE
Prepare for (Water) War,McCormick Hall,,McCormick Courtyard,8/29/2023 17:30,8/29/2023 18:30,Prep for Water Wars! Arm yourselves with water balloons. Defend yourselves with shields. Mark yourselves with war paint. Prepare for battle!,"Social, Art",TRUE
Spa Night,McCormick Hall,,"McCormick Green Living Room, Country Kitchen",8/29/2023 21:00,8/29/2023 23:00,"Chill, relax, put on a face mask! Make yourself a unique soap bar! Enjoy a spa night with us before heading off to your first week of classes!",Social,TRUE
Paint the Skyline,McCormick Hall,,McCormick's East Penthouse,8/30/2023 16:00,8/30/2023 19:00,"What's better than free art supplies? Painting the best view in MIT with those supplies, of course! Come to the McCormick East Penthouse to get your creative juices flowing, paint, and make a keepsake.",Art,TRUE
Game Night,McCormick Hall,,McCormick Game Room,8/30/2023 21:00,8/31/2023 0:00,"GAMES you say? Meet and battle your (fr)enemies in McCormick's Game room! Any game you could ask for (including Smash, ping pong, Exploding Kittens, and more!)","Social, Games",TRUE
Sunrise on Harvard Bridge,McCormick Hall,,Meet at Lobby,8/30/2023 6:00,8/30/2023 7:00,"Get ready for an epic adventure (across the street) at Sunrise on Harvard Bridge! Rise and shine with us as we witness the most breathtaking sunrise in Boston. It is time to kickstart your college adventure with laughter, friends, and a picture-perfect sunrise.",Social,TRUE
McCormick Breakfast House,McCormick Hall,,McCormick Country Kitchen,8/30/2023 7:30,8/30/2023 10:00,Stop by to get your most important meal of the day- McCormick’s got you covered with waffles & fruit in the Country Kitchen!,Food,TRUE
Crafty Cozies,New House (Numbered Houses),New House 5,New House 5 Lounge,8/27/2023 15:30,8/27/2023 17:00,"Cozy up with the dlounge plushies and blankets while making friendship bracelets, key chains, and origami with us! Snacks will be provided :)","Social, Art",TRUE
kitchen karaoke,New House (Numbered Houses),New House 4,New House 4 Kitchen (Floor 5),8/27/2023 21:00,8/27/2023 23:00,A karaoke event like you've never experienced before. Join House 4's favorite weeknight tradition of singing and dancing your heart out in the kitchen!,"Food, Social",TRUE
PAINT THE H4USE DOWN,New House (Numbered Houses),New House 4,House 4 Hallways and Kitchen (Floor 5),8/28/2023 14:00,8/28/2023 17:00,"That’s right, we’ll be entirely covering our walls with blank paper and turning the house into a giant canvas! Whether you've never held a paintbrush before or are an expert, get ready for lots of color, good music, and great vibes.","Social, Art",TRUE
Taste of New House,New House (Numbered Houses),,New House Arcade,8/28/2023 19:00,8/28/2023 20:00,Experience what NH has to offer!,"Signature, Food, Social",TRUE
Wii Games for Wee Gamers,New House (Numbered Houses),New House 5,New House 5 Lounge,8/28/2023 20:00,8/28/2023 22:00,Avoid the Boston road rage with some good ‘ol Mario Kart. Unlicensed? Take your adventure onto the floor with Wii Sports or Just Dance! (Fueled by snacks of course),"Social, Games",TRUE
Shaved Ice,New House (Numbered Houses),House 3,House 3 Lounge,8/29/2023 17:00,8/29/2023 20:00,Become cooler with House 3!,"Signature, Food, Social",TRUE
Dcupcake Decorating,New House (Numbered Houses),New House 5,New House 5 Lounge,8/29/2023 20:00,8/29/2023 21:30,Looking for something sweet? Swing by dlounge and decorate cupcakes to unleash your inner artist!,"Signature, Food, Social",TRUE
View of New,New House (Numbered Houses),,New House Arcade,8/30/2023 10:00,8/30/2023 17:00,"New House Tours. Everything ranging from where the culture and numbered houses are, to how to use the laundry room and maker space.","Tour, Social",TRUE
chill sports n chill sports,New House (Numbered Houses),New House 4,Briggs Field,8/30/2023 14:30,8/30/2023 16:00,Do you love a good round of spikeball? Or are you tired and want a popsicle to cool down on the hot day? We have it all! Come compete in chill outdoors games or cool down with our less athletic members and chat about life in New House!,"Social, Games",TRUE
Switch Games,New House (Numbered Houses),House 3,House 3 Lounge,8/30/2023 17:00,8/30/2023 20:00,Switch it up with House 3!,"Social, Games",TRUE
Slice to Meet You,New Vassar,,New Vassar Mezzanine ,8/27/2023 12:00,8/27/2023 13:00,Come to meet some new friends while eating pizza!,"Food, Social",TRUE
Green with New Vassar,New Vassar,,New Vassar Mezzanine ,8/27/2023 13:00,8/27/2023 14:00,Get artsy and crafty with succulent pot painting!,"Social, Art",TRUE
Explore New Vassar ,New Vassar,,New Vassar Lobby,8/27/2023 14:00,8/27/2023 14:30,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
Jurvassar Park ,New Vassar,,New Vassar Mezzanine ,8/27/2023 21:00,8/27/2023 23:00,Kick back and watch Jurassic Park with friends in New Vassar's beautiful mezzanine,Social,TRUE
Candyland Carnival ,New Vassar,,New Vassar Game Room + Conference Room,8/27/2023 21:00,8/27/2023 23:00,"Play your favorite game, learn a new one, or grab a computer and game with new friends and sweet treats in the best game room on campus.","Food, Social, Games",TRUE
Rise and Shine Waffles ,New Vassar,,New Vassar Mezzanine ,8/28/2023 10:00,8/28/2023 11:00,Come and grab some breakfast and meet new friends! ,"Food, Social",TRUE
Explore New Vassar,New Vassar,,New Vassar Lobby,8/28/2023 14:00,8/28/2023 14:30,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
Make with NV,New Vassar,,New Vassar Maker Space ,8/28/2023 15:00,8/28/2023 17:00,Come make your very own desk light in New Vassar's state-of-the-art makerspace! [materials and instructions included],Art,TRUE
Code Golf ,New Vassar,,New Vassar Mezzanine ,8/28/2023 19:00,8/28/2023 20:00,Ever thought about putting your coding skills to the test? Participate in our code golf tournament!,Social,TRUE
Poker Tournament ,New Vassar,,New Vassar Mezzanine ,8/28/2023 21:00,8/28/2023 23:00,Feeling lucky? Participate in our infamous poker tournament!,"Social, Games",TRUE
Make with NV,New Vassar,,New Vassar Maker Space ,8/29/2023 12:00,8/29/2023 14:00,Come make your very own desk light in New Vassar's state-of-the-art makerspace! [materials and instructions included],Art,TRUE
Explore New Vassar ,New Vassar,,New Vassar Lobby,8/29/2023 14:00,8/29/2023 14:30,"Take a peek inside your future home with a New Vassar tour, guided by a New Vassar resident",Tour,TRUE
Get Craf-TEA,New Vassar,,New Vassar Mezzanine ,8/29/2023 23:00,8/30/2023 0:00,Unleash your creativity to make a custom cup of boba! ,"Food, Social",TRUE
College Classics ,New Vassar,,New Vassar Mezzanine ,8/30/2023 0:00,8/31/2023 1:00,Prepare to eat all of the college student midnight snack classics!,"Food, Social",TRUE
Let's Break the Ice,New Vassar,,New Vassar Mezzanine ,8/30/2023 18:00,8/30/2023 20:00,Come to meet some new friends over snow cones! ,"Food, Social",TRUE
Eat Sleep League ,New Vassar,,New Vassar Conference Room ,8/30/2023 21:00,8/31/2023 0:00,Bring your laptop over and prepare to become best friends or worst nightmares with your 5-man league of legends team,"Social, Games",TRUE
Ping Pong Tournament ,New Vassar,,New Vassar Game Room,8/30/2023 21:00,8/30/2023 23:00,Break out your ping pong skills and get your competitive hype on with the New Vassar Ping Pong Singles tournament!,"Social, Games",TRUE
3W: Naptime with Baymax,Next House,3W,Next 3W,8/27/2023 14:00,8/27/2023 16:00,"Events hitting you hard already? Wanna take a breather? Then come on over to 3W, where the blankets are all kinds of colors and everything is soft (even the massive Baymax plushie)!",Social,TRUE
Next House Tour,Next House,REX Com.,All of Next House,8/27/2023 15:00,8/27/2023 16:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more!",Tour,TRUE
Fire & Ice II,Next House,REX Com.,Next House Country Kitchen,8/27/2023 16:00,8/27/2023 18:00,"Where was the fire in Fire & Ice I, you ask? Come eat spicy ramen with us and find out.",Food,TRUE
Discover Confessions,Next House,REX Com.,Next House Basement,8/27/2023 20:00,8/27/2023 22:00,Discover some of MIT's juiciest confessions by playing pictionary/telephone/mad libs with us!! 🍵 👀,"Social, Games",TRUE
Tea & Scones with Next Bake,Next House,Next Bake,Next House Country Kitchen,8/27/2023 21:00,8/27/2023 23:30,"ever wanted to channel (see what we did there) your inner 1800s English socialite? well have no fear, because next bake is here!! come bake (and EAT) scones with us and sample a variety of teas (definitely literal, maybe figurative? 👀)! no baking experience required :))","Food, Social, Art",TRUE
4W: Re-rejected REX ideas,Next House,4W,Next 4W Main Lounge,8/28/2023 14:00,8/28/2023 16:00,"Running all our re-rejected ideas. Cities quiz: ""name as many springfields as we can"". Orange stacking: ""start with 220 oranges. end with 220 oranges and 1 tetrahedron"". 2000 piece puzzle: “press puzzling pieces pragmatically to produce picture of phenomenal people”. also snaccs","Food, Social, Games, Art",TRUE
Tye Dye Battle,Next House,REX Com.,Next House Courtyard,8/28/2023 15:30,8/28/2023 17:30,"Wanna pummel your friends, enemies, and total strangers with water balloons? Do you crave the sight of colored dye exploding on your victims? Ready to practice your skills for the upcoming MIT WATER WAR??? Then join the battle! (tye-dye station included, noncombatants welcome)!","Social, Games",TRUE
Scenic Citgo,Next House,REX Com.,Next House Country Kitchen,8/28/2023 19:00,8/28/2023 21:00,"Join our very own paint bar in capturing scenic skylines, signs, and sunsets seen on campus. Refreshments and supplies provided.","Food, Social, Art",TRUE
5E: Eat Hot Chip and ...,Next House,5E,Next 5E Main Lounge,8/28/2023 19:00,8/28/2023 21:00,"All we know is eat hot chip and ... Come eat hot chips with us and tell stories, try to guess if your peers are lying, after all that's all people born after 1993 know.","Food, Social, Games",TRUE
Next Haunt,Next House,Next Haunt,Next House PDR (Private Dining Room),8/28/2023 21:00,8/29/2023 1:00,"Excited for Halloween? Yes, it's August, but ARE YOU EXCITED FOR HALLOWEEN? Then swing by for snacks, puzzles, drawing prompts, and spo0kiness! We're a student group that builds a haunted escape room every Halloween and is always looking for volunteers (no experience required)!","Social, Games",TRUE
Movie Meltdown,Next House,REX Com.,Next House TFL,8/28/2023 22:00,8/29/2023 1:00,"Because we'll all collectively be having a meltdown while watching ✨ classics ✨ such as Twilight, Bee Movie, and The Room. Enjoy a slice while you cringe.","Food, Social",TRUE
5W: Ab Ripper w/ Snacks,Next House,5W,Next 5W Main Lounge,8/28/2023 8:00,8/28/2023 10:00,"Start off the semester healthy by building your muscles with Next House 5W. Join us for P90X-Ab Ripper X, recover with some morning snacks (granola, fresh & dried fruits, yogurt), and relax with some orbeez!","Food, Social",TRUE
Tattoo Parlor,Next House,REX Com.,Next House Courtyard,8/29/2023 11:30,8/29/2023 13:30,"Tattoos for all levels of commitment-phobia, and eye masks ordered in bulk from Amazon for the casual relaxer. Vibe with your tattoo artist Nexties and friends!","Social, Art",TRUE
Make Your Own Pizza,Next House,REX Com.,Next House Country KItchen,8/29/2023 12:00,8/29/2023 14:00,Personal pizzas have never been this personal. Mix your own Italian soda to wash it down!,"Food, Social",TRUE
3E: Strange Waters,Next House,3E,Next 3E,8/29/2023 13:30,8/29/2023 15:30,hydrate or diedrate! or… both?,"Food, Social",TRUE
4E: Fruit Anarchy,Next House,4E,Next 4E,8/29/2023 17:00,8/29/2023 19:00,"One of the only times you’re encouraged to play with your food! We got lots of fruit to do whatever you want (within legal boundaries) >:-) Examples include speed-peeling citrus fruits, snapping apples and bananas with your hands, or if it's more your thing, enjoy a smoothie.","Food, Social, Games",TRUE
2W: Sussy Lassi,Next House,2W,Next House Country Kitchen,8/29/2023 19:00,8/29/2023 21:00,"Come to 2W’s Lassi* 🥛 Bar! Enjoy carefully curated concoctions from the delicious 😍 to the downright dastardly 😈. Try to guess our mystery flavor 👀. We’ll have funny fruits 🥑, fishy 🐟 flavorings and the best vibes 🧡. *Flavored yogurt drink. **Lactose-free options available","Food, Social, Games, Art",TRUE
4W: Mamma Mia watch party,Next House,4W,Next 4W Main Lounge,8/29/2023 21:00,8/29/2023 23:00,"Come watch and sing along to the absolutely fantastic 2008 movie musical, Mamma Mia! There will be snacks!","Food, Social",TRUE
Next Sing Karaoke,Next House,Next Sing,Next House Basement,8/29/2023 23:00,8/30/2023 1:00,come participate in the classic next house activity of staying up and singing 2010’s music until ungodly hours of the night !,"Party, Social",TRUE
2E: Breakfast Time,Next House,2E,Next House 2E,8/29/2023 8:00,8/29/2023 10:00,Grab some cereal and start your day right with the folks in 2E!,"Food, Social",TRUE
Midnight Pancakes,Next House,REX Com.,Next House Country Kitchen,8/30/2023 0:00,8/30/2023 1:00,Come to one of Next House's signature events following a warm wholesome karaoke session. Catch pancakes in the Next House country kitchen (literally)! Chill and talk to Nexties! Warm up with hot chocolate and the vibes ~,"Signature, Food",TRUE
Bubble Tea Social,Next House,REX Com.,Next House Country Kitchen,8/30/2023 20:00,8/30/2023 22:00,"WHO DOESN'T LIKE BOBA??? Pull through to enjoy tapioca pearls with an assortment of beverages, jigsaw puzzles, and the company of current Nexties!","Food, Social",TRUE
Poker Chips & Chips,Next House,REX Com.,Next House Basement,8/30/2023 22:00,8/31/2023 1:00,"Craving a late-night snack? Want to learn how to play poker in a casual, low-stakes setting? Both? Come feast on chips with Next House's poker enthusiasts! (just don't snack on the poker chips)","Food, Social, Games",TRUE
Lego My Eggo,Next House,REX Com.,Next House Country Kitchen,8/30/2023 8:00,8/30/2023 10:00,Did someone say Legos? And Eggo Waffles?!? Come through to relive your childhood (and maybe even adulthood) in the best possible way! Get delicious breakfast to keep you running for the rest of the day AND channel your Mens et Manus by building stuff out of Lego!,"Food, Social, Games, Art",TRUE
ghost stories on the roofdeck,Random Hall,,Random Rookdeck,8/28/2023 19:47,8/28/2023 20:47,"""bring your spooky mood to the random hall roofdeck and listen to ghost stories (featuring some queer content!) while enjoying some thematic treats ~oooOooOooh~ note: cw will be announced before each story <3""",Social,TRUE
Takoyaki,Random Hall,BMF,BMF Kitchen,8/30/2023 11:47,8/30/2023 12:47,"Come one and all to eat takoyaki made by yours truly, BMF","Food, Social",TRUE
Pierogi Power Hour,Random Hall,Bonfire,Bonfire Kitchen,8/27/2023 10:17,8/27/2023 12:17,Did your babusya never teach you how to make cheese or blueberry pierogies from scratch? Don't worry! We'll be your local grandmothers and show you how - the Ukrainian way ;),"Food, Social",TRUE
bagels & locks,Random Hall,,foo,8/27/2023 11:17,8/27/2023 13:17,learn how to pick locks and eat bagels. or pick bagels and eat locks. or eat picks and lock bagels? or label blocks? blagel pocks. blagicklock? pickockgel. bagelbagelbagelock? or blagelockickeaglebagle? what's a lock? what's a bagel? who are you? who am i? bagel. bagel. locks.,Food,TRUE
random hall mural hunt,Random Hall,,"Random Hall, starting in Foo",8/27/2023 12:17,8/27/2023 14:17,"our dorm is a colorful maze -- come explore it, and don't forget to look up!",Tour,TRUE
bagels & locks,Random Hall,Black Hole,Black Hole Kitchen,8/27/2023 12:17,8/27/2023 14:17,learn how to pick locks and eat bagels. or pick bagels and eat locks. or eat picks and lock bagels? or label blocks? blagel pocks. blagicklock? pickockgel. bagelbagelbagelock? or blagelockickeaglebagle? what's a lock? what's a bagel? who are you? who am i? bagel. bagel. locks.,"Food, Social, Games",TRUE
Hyperbolic Scrunchies,Random Hall,Pecker,Pecker lounge,8/27/2023 13:17,8/27/2023 16:17,Do you enjoy crochet or want to learn this delightful fiber art? Come make Cool Wiggly Shapes!,Art,TRUE
Game Time,Random Hall,BMF,BMF lounge,8/27/2023 13:47,8/27/2023 15:47,Come play some board/card games,Games,TRUE
milk and toast cafe ~ ,Random Hall,BMf,BMF Kitchen,8/27/2023 15:47,8/27/2023 17:57,"want milk? toast? good music and chill vibes? stop by our cafe, where all things are about milk and milk bread! (toppings and tea included)","Food, Social",TRUE
Foamsmithing,Random Hall,,Random Roof Deck,8/27/2023 16:17,8/27/2023 17:57,Let us forge a hoard of mighty weapons to defend our honor and the honor of our livestock! Come forth ye brave hero and make a foam sword. Henceforth thou shalt smack thine enemies with glorious purpose!,Games,TRUE
Bonfire Pillow Fort,Random Hall,Bonfire,Firepit (Bonfire Lounge),8/27/2023 20:17,8/27/2023 21:17,"Come take a break from the craziness of REX to get cozy and warm (and/or air conditioned) with blankets and hot chocolate, getting to know some lovely Randomites in the process.","Food, Social",TRUE
eat food to live,Random Hall,,Clam Kitchen,8/27/2023 20:47,8/27/2023 22:17,Food is any substance consumed by an organism for nutritional support. consume food. so that you can survive. ft. noodle! stir fry! mysterious other options! vegetarian options always available,Food,TRUE
Bughouse Mughouse,Random Hall,Loop,Pecker Kitchen,8/27/2023 20:47,8/27/2023 22:47,Come play the chess variant bughouse and enjoy some treats in mugs!,"Food, Social, Games",TRUE
Geoguessr? Hardly Know ‘Er!,Random Hall,,AiW (Random Basement),8/27/2023 21:17,8/27/2023 23:17,"Guess Geos with us by any means possible! Learn the try hard strats such as: staring at signs, staring at cars, staring at the sky and staring in general! But... are you playing the game, or is the game playing you?",Games,TRUE
Roofdeck Movies,Random Hall,,Random Hall Roofdeck,8/27/2023 23:17,8/28/2023 1:00,Watch movies on random's lovely roofdeck ,Social,TRUE
sapphic cartoons plushie pile,Random Hall,Clam,Clam Lounge,8/28/2023 14:07,8/28/2023 17:27,Randomites have a lot of plushies. Like a lot. Vibe and watch gay cartoons while being c o n s u m e d in the pile.,"Food, Social",TRUE
Clam Smoothies,Random Hall,Clam,Clam Kitchen,8/28/2023 14:07,8/28/2023 17:27,Are you thirsty? Lacking in nutrients? Looking for a refreshing beverage that is also kind of food? Come by Clam (on the 3rd floor of Random Hall) for a smoothie and snacks!,"Food, Social",TRUE
maps? maps. maps! maaaaaaaaaaps,Random Hall,Black Hole,Black Hole,8/28/2023 14:17,8/28/2023 15:47,i have a lot of paper maps. we will stick them to the wall with mod podge. we will talk about urban planning.,"Social, Art",TRUE
Random Hall Dorm Tour,Random Hall,,"starts in Foo, goes around the dorm",8/28/2023 14:17,8/26/2023 14:47,"tour random! get to know our lovely, idiosyncratic building, its culture, and its residents.",Tour,TRUE
slime tutorial.,Random Hall,Foo,Foo,8/28/2023 14:47,8/28/2023 16:47,will there be slime? will there be tutorial? come and join us as we (allegedly) make slime and watch musicals!,"Food, Social",TRUE
Powerpoint Karaoke,Random Hall,,Alice in Wonderland Theater,8/28/2023 16:17,8/28/2023 17:27,"Are you ready for your presentation? What do you mean ""what presentation""? Yes, right now! What, you've never seen these slides before? No problem! Powerpoint Karaoke: we've got random slides you've never seen before, and it's your turn to present!","Social, Games",TRUE
The totally true history of Random,Random Hall,,"Random Hall, Foo",8/28/2023 18:47,8/28/2023 19:47,"I love lying, you love lying. I love Random, and you love random. Now let's put this together, and give a tour to teach your fellow frosh the totally true history of Random","Tour, Social",TRUE
BYOP (Build Your Own Pizza),Random Hall,Loop,Loop Kitchen,8/28/2023 18:47,8/28/2023 20:17,"Pizza just doesn't get any better than when you make it yourself! Come choose from a truly ludicrous number of toppings and try your hand at tossing pizza dough. Pineapple pizza, pickle pizza, pesto pizza, pizza for dessert?!?  Vegan and gluten-free options available.","Food, Social",TRUE
Applied Knot Theory,Random Hall,Pecker,Pecker lounge,8/28/2023 19:17,8/28/2023 20:17,"A practical introduction to the art, mathematics, and philosophy of tying pretty people up with pretty knots. WARNING: This event can expose you to adult-themed conversations, which are known to the State of California to cause discomfort in select individuals.",,TRUE
Ceiling tile painting,Random Hall,BMF,Bmf lounge,8/28/2023 20:17,8/28/2023 22:17,Paintings? On my ceiling? Come relax and paint some ceiling tiles with us!,Art,TRUE
Find Your Real Life D&D Ability Scores!,Random Hall,Bonfire,Bonfire Lounge,8/28/2023 20:17,8/28/2023 21:17,"Are you a fan of Dungeons & Dragons? Have you ever wondered what your real life ability scores would be if you were a D&D character? Come to find out, and learn/talk/debate about D&D (or other ttrpgs)! ","Social, Games",TRUE
Become 2% Milk,Random Hall,Clam,Clam Kitchen,8/28/2023 21:17,8/28/2023 22:17,Drink milk until you're 2% milk,Food,TRUE
desk coffehouse,Random Hall,,Foo,8/28/2023 8:17,8/28/2023 10:57,"would you consider yourself an early riser? want some high quality caffeine to start your day? come to random this morning for a homegrown cafe, complete with coffee, matcha, hot chocolate, good vibes, new friends, and perhaps an enemy or two...","Food, Social",TRUE
make corn tortillas while listening to jazz,Random Hall,Bonfire,Bonfire Kitchen,8/28/2023 9:47,8/28/2023 10:57,"tortillas? masa harina. salt. water. all tortilla-making skill levels welcome. jazz? only your favorites of bebop, cool, latin, free, and fusion jazz subgenres.","Food, Social",TRUE
🅱️MF 🅱️oba La🅱️,Random Hall,BMF,BMF Kitchen,8/28/2023 9:47,8/28/2023 10:47,Boba is always the best when you build your own. Come experiment with different flavors and topping combinations you don’t get to try at the store! Decaf and vegan options available ,"Food, Social",TRUE
black hole tea time! ^-^,Random Hall,Black Hole,Black Hole Kitchen,8/29/2023 11:47,8/29/2023 13:17,chill in black hole kitchen and have some tea with us! we'll have vibes ranging from respectful ceremonial tea pouring to campus-scavenged lipton's. ,"Food, Social",TRUE
fish waffles? fish everything!,Random Hall,Bonfire,Bonfire Kitchen,8/29/2023 12:17,8/29/2023 14:47,do you like waffles? do you like fish shaped items? do you like waffles made out of non-waffle foods? come join us as we explore the limits of what can be cooked in a fish shaped waffle iron. marshmallows? fruit? ice cream? come find out. ,"Food, Social",TRUE
Box Fort Warfare,Random Hall,,Random Hall Roof,8/29/2023 12:47,8/29/2023 14:27,"Create an empire of cardboard, and conquer all who stand in your way",Games,TRUE
SHARKCUTERIE,Random Hall,Black Hole,Black Hole Kitchen,8/29/2023 12:47,8/29/2023 14:17,MEAT FOR JAWS CHOMP CHOMP come pair YOUR MEAT with some CHEESE and CRACKERS and FRUIT >:},"Food, Social",TRUE
